gsis_id,player_name,player_name_norm,position,draft_year,ff_adp,ff_adp_rank,ff_rankings_note
00-0030564,DeAndre Hopkins,deandre hopkins,WR,2013,117.5,114.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030521,Justin Hunter,justin hunter,WR,2013,274.7,280.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030456,Giovani Bernard,giovani bernard,RB,2013,55.8,54.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030431,Robert Woods,robert woods,WR,2013,218.0,216.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030496,Le'Veon Bell,le veon bell,RB,2013,88.7,141.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030279,Keenan Allen,keenan allen,WR,2013,246.0,240.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030550,Ace Sanders,ace sanders,WR,2013,309.0,350.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030474,Josh Boyce,josh boyce,WR,2013,291.0,301.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030497,Marcus Lattimore,marcus lattimore,RB,2013,223.3,223.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030085,Kenny Stills,kenny stills,WR,2013,216.0,214.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030388,Joseph Randle,joseph randle,RB,2013,188.5,177.0,FantasyPros Overall ADP for rookie season 2013 (match_score=100.0)
00-0030414,Spencer Ware,spencer ware,RB,2013,,,No FantasyPros ADP match in 2013 overall rankings (rookies only; best_score=50.0).
00-0030415,Jawan Jamison,jawan jamison,RB,2013,,,No FantasyPros ADP match in 2013 overall rankings (rookies only; best_score=51.85185185185186).
00-0030047,Marquess Wilson,marquess wilson,WR,2013,,,No FantasyPros ADP match in 2013 overall rankings (rookies only; best_score=62.06896551724138).
00-0031407,Blake Bortles,blake bortles,QB,2014,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=45.16129032258065).
00-0031325,Sammy Watkins,sammy watkins,WR,2014,110.0,110.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031408,Mike Evans,mike evans,WR,2014,102.0,102.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031387,Eric Ebron,eric ebron,TE,2014,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=50.0).
00-0031235,Odell Beckham Jr.,odell beckham,WR,2014,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=50.0).
00-0031236,Brandin Cooks,brandin cooks,WR,2014,76.0,76.0,FantasyPros Overall ADP for rookie season 2014 (match_score=100.0)
00-0031409,Johnny Manziel,johnny manziel,QB,2014,,,No FantasyPros ADP match in 2014 overall rankings (rookies only; best_score=42.85714285714286).
