gsis_id,pfr_player_id,player_name,player_name_norm,position,hs_class,birth_date,draft_year,college,draft_team
00-0036973,EtieTr00,Travis Etienne,travis etienne,RB,2017,1999-01-26,2021,Clemson,JAX
00-0036550,BateRa00,Rashod Bateman,rashod bateman,WR,2018,1999-11-29,2021,Minnesota,BAL
00-0036980,MoorEl00,Elijah Moore,elijah moore,WR,2018,2000-03-27,2021,Mississippi,NYJ
00-0036997,WillJa10,Javonte Williams,javonte williams,RB,2018,2000-04-25,2021,North Carolina,DEN
00-0036936,MoorRo02,Rondale Moore,rondale moore,WR,2018,2000-06-09,2021,Purdue,ARI
00-0036894,FreiPa00,Pat Freiermuth,pat freiermuth,TE,2018,1998-10-25,2021,Penn St.,PIT
00-0036620,EskrDW00,D'Wayne Eskridge,d wayne eskridge,WR,2016,1997-03-23,2021,Western Michigan,SEA
00-0036849,AtweTu00,Tutu Atwell,tutu atwell,WR,2018,1999-10-07,2021,Louisville,LAR
00-0036955,MarsTe00,Terrace Marshall Jr.,terrace marshall,WR,2018,2000-06-09,2021,LSU,CAR
00-0036928,TrasKy00,Kyle Trask,kyle trask,QB,2016,1998-03-06,2021,Florida,TAM
00-0036946,MondKe00,Kellen Mond,kellen mond,QB,2017,1999-06-22,2021,Texas A&M,MIN
00-0036898,MillDa02,Davis Mills,davis mills,QB,2017,1998-10-21,2021,Stanford,HOU
00-0036988,PalmJo00,Josh Palmer,josh palmer,WR,2017,1999-09-22,2021,Tennessee,LAC
00-0037004,LongHu00,Hunter Long,hunter long,TE,2017,1998-08-19,2021,Boston Col.,MIA
00-0036626,BrowDy00,Dyami Brown,dyami brown,WR,2018,1999-11-01,2021,North Carolina,WAS
00-0037005,TremTo00,Tommy Tremble,tommy tremble,TE,2018,2000-06-02,2021,Notre Dame,CAR
00-0036991,RodgAm00,Amari Rodgers,amari rodgers,WR,2017,1999-09-23,2021,Clemson,GNB
00-0036984,SermTr00,Trey Sermon,trey sermon,RB,2017,1999-01-30,2021,Ohio St.,SFO
00-0036554,CollNi00,Nico Collins,nico collins,WR,2017,1999-03-19,2021,Michigan,HOU
