gsis_id,player_name,position,draft_year,draft_team,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches
00-0033127,Will Fuller,WR,2016,HOU,0.5,16.0,3418.0,1859.0,0.5611164581328201,379.2,0.0,216.0,125.0,125.0,331.09999999999997,379.2,0.0,192.0,111.0
00-0032760,Josh Doctson,WR,2016,WAS,0.51171875,16.0,4948.0,1696.0,0.6156186612576064,564.8,2.0,314.0,203.0,205.0,185.70000000000002,489.9,2.0,111.0,72.0
00-0032951,Laquon Treadwell,WR,2016,MIN,0.48828125,16.0,4119.0,1205.0,0.6074380165289256,384.29999999999995,9.0,237.0,146.0,155.0,149.29999999999998,285.4,4.0,84.0,55.0
00-0033108,Paxton Lynch,QB,2016,DEN,0.546875,16.0,3914.0,1484.0,0.5816326530612245,116.68,22.0,0.0,0.0,22.0,-0.1,-0.1,1.0,0.0,1.0
00-0033090,Hunter Henry,TE,2016,SDG,0.54296875,16.0,4386.0,1510.0,0.5930470347648262,171.7,2.0,98.0,67.0,69.0,149.0,149.0,0.0,85.0,56.0
00-0032385,Sterling Shepard,WR,2016,NYG,0.48046875,16.0,4027.0,1412.0,0.6004016064257028,643.1,3.0,328.0,198.0,201.0,319.3,432.1,2.0,158.0,97.0
00-0032764,Derrick Henry,RB,2016,TEN,0.46484375,16.0,3720.0,2187.0,0.5142857142857142,23.8,23.0,6.0,5.0,28.0,22.7,22.7,7.0,6.0,12.0
00-0032765,Michael Thomas,WR,2016,NOR,0.51953125,16.0,5258.0,1742.0,0.6252319109461967,530.8,8.0,284.0,187.0,195.0,253.6,524.4,8.0,129.0,92.0
00-0032953,Christian Hackenberg,QB,2016,NYJ,0.51171875,16.0,3645.0,1802.0,0.5681818181818182,305.2,62.0,0.0,0.0,62.0,285.2,305.2,60.0,0.0,60.0
00-0033009,Tyler Boyd,WR,2016,CIN,0.51953125,16.0,4206.0,1769.0,0.557978196233895,555.5,15.0,288.0,187.0,202.0,273.7,273.7,0.0,132.0,86.0
00-0033118,Kenyan Drake,RB,2016,MIA,0.44921875,16.0,3716.0,1824.0,0.5408163265306123,319.7,259.0,96.0,75.0,334.0,45.1,87.8,49.0,28.0,56.0
00-0032392,Austin Hooper,TE,2016,ATL,0.4765625,16.0,4960.0,1928.0,0.5605427974947808,13.4,0.0,12.0,7.0,7.0,13.4,13.4,0.0,12.0,7.0
00-0033069,Braxton Miller,WR,2016,HOU,0.5,16.0,3418.0,1859.0,0.5611164581328201,379.2,0.0,216.0,125.0,125.0,331.09999999999997,379.2,0.0,192.0,111.0
00-0033060,Leonte Carroo,WR,2016,MIA,0.44921875,16.0,3716.0,1824.0,0.5408163265306123,591.36,19.0,341.0,206.0,225.0,275.36,457.76,18.0,166.0,128.0
00-0032393,C.J. Prosise,RB,2016,SEA,0.4375,16.0,4422.0,1591.0,0.5845360824742268,240.5,328.0,36.0,25.0,353.0,127.6,131.79999999999998,147.0,11.0,156.0
00-0033119,Jacoby Brissett,QB,2016,NWE,0.43359375,16.0,4456.0,1872.0,0.5329457364341085,344.44,39.0,1.0,1.0,40.0,344.7,344.44,34.0,1.0,35.0
00-0033104,Cody Kessler,QB,2016,CLE,0.54296875,16.0,3693.0,1712.0,0.6183206106870229,151.34,27.0,0.0,0.0,27.0,132.16,132.16,20.0,0.0,20.0
00-0032394,Nick Vannett,TE,2016,SEA,0.4375,16.0,4422.0,1591.0,0.5845360824742268,190.8,0.0,122.0,78.0,78.0,120.5,164.8,0.0,74.0,48.0
00-0032893,Connor Cook,QB,2016,OAK,0.50390625,16.0,4137.0,1922.0,0.5786407766990291,280.96,33.0,0.0,0.0,33.0,271.28,280.96,33.0,0.0,33.0
00-0032398,Chris Moore,WR,2016,BAL,0.4921875,16.0,4343.0,1463.0,0.6491395793499044,354.8,3.0,237.0,143.0,146.0,197.4,244.29999999999998,2.0,127.0,75.0
