season,overall_pick,round,round_pick,team_id,espn_player_id,gsis_id,player_name,position,pro_team,is_keeper,bid_amount
2024,20,2,10,9,4035687,00-0036252,Michael Pittman Jr.,WR,IND,False,0
2024,21,3,1,9,3054850,00-0033906,Alvin Kamara,RB,NO,False,0
2024,22,3,2,6,4047365,00-0035700,Josh Jacobs,RB,GB,False,0
2024,23,3,3,1,16737,00-0031408,Mike Evans,WR,TB,False,0
2024,24,3,4,4,4258173,00-0036554,Nico Collins,WR,HOU,False,0
2024,25,3,5,5,4429160,00-0039040,De'Von Achane,RB,MIA,False,0
2024,26,3,6,3,3043078,00-0032764,Derrick Henry,RB,BAL,False,0
2024,27,3,7,2,4697815,00-0037256,Rachaad White,RB,TB,False,0
2024,28,3,8,7,4361370,00-0037239,Chris Olave,WR,NO,False,0
2024,29,3,9,10,4379399,00-0037248,James Cook,RB,BUF,False,0
2024,30,3,10,8,3915416,00-0034827,DJ Moore,WR,CHI,False,0
2024,31,4,1,8,4430027,00-0039065,Sam LaPorta,TE,DET,False,0
2024,32,4,2,10,3126486,00-0035719,Deebo Samuel Sr.,WR,WAS,False,0
2024,33,4,3,7,15847,00-0030506,Travis Kelce,TE,KC,False,0
2024,34,4,4,2,3116385,00-0033897,Joe Mixon,RB,HOU,False,0
2024,35,4,5,3,4567048,00-0038134,Kenneth Walker III,RB,SEA,False,0
2024,36,4,6,5,4426502,00-0037238,Drake London,WR,ATL,False,0
2024,37,4,7,4,4360438,00-0036261,Brandon Aiyuk,WR,SF,False,0
2024,38,4,8,1,3918298,00-0034857,Josh Allen,QB,BUF,False,0
2024,39,4,9,6,4040715,00-0036389,Jalen Hurts,QB,PHI,False,0
2024,40,4,10,9,4372016,00-0036613,Jaylen Waddle,WR,MIA,False,0
2024,41,5,1,9,2977187,00-0033908,Cooper Kupp,WR,SEA,False,0
2024,42,5,2,6,4428331,00-0039067,Rashee Rice,WR,KC,False,0
2024,43,5,3,1,3116365,00-0034753,Mark Andrews,TE,BAL,False,0
2024,44,5,4,4,3139477,00-0033873,Patrick Mahomes,QB,KC,False,0
2024,45,5,5,5,3916387,00-0034796,Lamar Jackson,QB,BAL,False,0
2024,46,5,6,3,4595348,00-0039337,Malik Nabers,WR,NYG,False,0
2024,47,5,7,2,4047650,00-0035640,DK Metcalf,WR,PIT,False,0
2024,48,5,8,7,2976212,00-0031588,Stefon Diggs,WR,HOU,False,0
2024,49,5,9,10,3051876,00-0033881,Evan Engram,TE,DEN,False,0
2024,50,5,10,8,4432577,00-0039163,C.J. Stroud,QB,HOU,False,0
2024,51,6,1,8,4569173,00-0036875,Rhamondre Stevenson,RB,NE,False,0
2024,52,6,2,10,3915511,00-0036442,Joe Burrow,QB,CIN,False,0
2024,53,6,3,7,2577417,00-0033077,Dak Prescott,QB,DAL,False,0
2024,54,6,4,2,3040151,00-0033288,George Kittle,TE,SF,False,0
2024,55,6,5,3,4361307,00-0037744,Trey McBride,TE,ARI,False,0
2024,56,6,6,5,3045147,00-0033553,James Conner,RB,ARI,False,0
2024,57,6,7,4,4429615,00-0039064,Zay Flowers,WR,BAL,False,0
2024,58,6,8,1,4241478,00-0036912,DeVonta Smith,WR,PHI,False,0
2024,59,6,9,6,4385690,00-0038933,Dalton Kincaid,TE,BUF,False,0
2024,60,6,10,9,4259545,00-0036275,D'Andre Swift,RB,CHI,False,0
2024,61,7,1,9,3932905,00-0035216,Diontae Johnson,WR,BAL,False,0
2024,62,7,2,6,3042519,00-0033293,Aaron Jones,RB,MIN,False,0
2024,63,7,3,1,3121422,00-0035659,Terry McLaurin,WR,WAS,False,0
2024,64,7,4,4,4239993,00-0036410,Tee Higgins,WR,CIN,False,0
2024,65,7,5,5,4426354,00-0037247,George Pickens,WR,PIT,False,0
2024,66,7,6,3,3925357,00-0034837,Calvin Ridley,WR,TEN,False,0
2024,67,7,7,2,3116165,00-0033921,Chris Godwin,WR,TB,False,0
2024,68,7,8,7,2976499,00-0031544,Amari Cooper,WR,BUF,False,0
2024,69,7,9,10,4366031,00-0038977,Tank Dell,WR,HOU,False,0
2024,70,7,10,8,4361777,00-0038040,Zamir White,RB,LV,False,0
2024,71,8,1,8,4683062,00-0039894,Xavier Worthy,WR,KC,False,0
2024,72,8,2,10,4241474,00-0037746,Brian Robinson Jr.,RB,WAS,False,0
2024,73,8,3,7,4241457,00-0036893,Najee Harris,RB,LAC,False,0
2024,74,8,4,2,4569987,00-0037228,Jaylen Warren,RB,PIT,False,0
2024,75,8,5,3,3895856,00-0034775,Christian Kirk,WR,HOU,False,0
2024,76,8,6,5,4360248,00-0036970,Kyle Pitts,TE,ATL,False,0
2024,77,8,7,4,4035538,00-0035685,David Montgomery,RB,DET,False,0
2024,78,8,8,1,4430878,00-0038543,Jaxon Smith-Njigba,WR,SEA,False,0
2024,79,8,9,6,4431299,00-0039919,Rome Odunze,WR,CHI,False,0
2024,80,8,10,9,3123076,00-0033885,David Njoku,TE,CLE,False,0
2024,81,9,1,9,4429084,00-0039164,Anthony Richardson,QB,IND,False,0
2024,82,9,2,6,4361579,00-0036997,Javonte Williams,RB,DAL,False,0
2024,83,9,3,1,15818,00-0030279,Keenan Allen,WR,CHI,False,0
2024,84,9,4,4,4242355,00-0038041,Jake Ferguson,TE,DAL,False,0
2024,85,9,5,5,2576414,00-0031687,Raheem Mostert,RB,LV,False,0
2024,86,9,6,3,4428557,00-0039032,Tyjae Spears,RB,TEN,False,0
2024,87,9,7,2,4372019,00-0037267,Jerome Ford,RB,CLE,False,0
2024,88,9,8,7,3916148,00-0035261,Tony Pollard,RB,TEN,False,0
2024,89,9,9,10,4612826,00-0039915,Ladd McConkey,WR,LAC,False,0
2024,90,9,10,8,3068267,00-0033699,Austin Ekeler,RB,WAS,False,0
2024,91,10,1,8,4248528,00-0038124,Christian Watson,WR,GB,False,0
2024,92,10,2,10,3128429,00-0034348,Courtland Sutton,WR,DEN,False,0
