gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,games_y1,games_y2,games_y3,dynasty_seasons_observed,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,dynasty_games_y1_y3
00-0038102,Kenny Pickett,QB,2022,2022.0,149.85999999999999,110.2,25.14,13.0,12.0,5.0,3,1,285.2,95.06666666666666,9.506666666666666,30.0
00-0038124,Christian Watson,WR,2022,2022.0,164.10000000000002,101.3,105.3,14.0,9.0,14.0,3,1,370.70000000000005,123.56666666666668,10.01891891891892,37.0
00-0038120,Breece Hall,RB,2022,2022.0,115.1,290.5,240.9,7.0,17.0,16.0,3,1,646.5,215.5,16.1625,40.0
00-0038134,Kenneth Walker III,RB,2022,2022.0,202.5,199.4,181.2,15.0,15.0,11.0,3,1,583.0999999999999,194.36666666666665,14.221951219512192,41.0
00-0038117,Wan'Dale Robinson,WR,2022,2022.0,51.599999999999994,133.2,182.70000000000002,6.0,15.0,17.0,3,1,367.5,122.5,9.671052631578947,38.0
00-0037614,John Metchie,WR,2022,2023.0,32.2,55.4,,14.0,10.0,,2,0,,,,
00-0038104,Tyquan Thornton,WR,2022,2022.0,66.3,27.200000000000003,8.7,12.0,9.0,4.0,3,1,102.2,34.06666666666667,4.088,25.0
00-0037247,George Pickens,WR,2022,2022.0,166.5,208.8,164.4,17.0,17.0,14.0,3,1,539.7,179.9,11.24375,48.0
00-0037664,Alec Pierce,WR,2022,2022.0,112.30000000000001,95.4,161.4,16.0,17.0,16.0,3,1,369.1,123.03333333333335,7.53265306122449,49.0
00-0038090,Skyy Moore,WR,2022,2022.0,49.4,53.7,0.0,14.0,13.0,2.0,3,1,103.1,34.36666666666667,3.555172413793103,29.0
00-0037744,Trey McBride,TE,2022,2022.0,61.5,181.5,243.8,9.0,17.0,16.0,3,1,486.8,162.26666666666668,11.59047619047619,42.0
00-0037248,James Cook,RB,2022,2022.0,105.7,232.7,266.7,16.0,17.0,16.0,3,1,605.0999999999999,201.69999999999996,12.348979591836732,49.0
00-0037745,Velus Jones Jr.,WR,2022,2022.0,38.0,11.1,2.9,9.0,10.0,2.0,3,1,52.0,17.333333333333332,2.4761904761904763,21.0
00-0037755,Jelani Woods,TE,2022,2022.0,74.2,,,12.0,,,1,0,,,,
00-0038122,Desmond Ridder,QB,2022,2022.0,38.72,181.14,21.92,4.0,15.0,5.0,3,1,241.77999999999997,80.59333333333332,10.074166666666665,24.0
00-0037252,Greg Dulcich,TE,2022,2022.0,86.1,5.5,7.8,10.0,2.0,3.0,3,1,99.39999999999999,33.13333333333333,6.626666666666666,15.0
00-0038128,Malik Willis,QB,2022,2022.0,19.34,3.06,51.8,7.0,2.0,6.0,3,1,74.19999999999999,24.73333333333333,4.946666666666666,15.0
00-0037666,Jalen Tolbert,WR,2022,2022.0,3.2,60.800000000000004,152.0,2.0,13.0,17.0,3,1,216.0,72.0,6.75,32.0
00-0037256,Rachaad White,RB,2022,2022.0,141.1,267.9,199.6,16.0,17.0,15.0,3,1,608.6,202.86666666666667,12.679166666666667,48.0
00-0037827,Tyrion Davis-Price,RB,2022,2022.0,9.9,2.1,0.7,5.0,1.0,1.0,3,1,12.7,4.233333333333333,1.8142857142857143,7.0
00-0038132,Matt Corral,QB,2022,,,,,,,,0,0,,,,
00-0037746,Brian Robinson Jr.,RB,2022,2022.0,112.69999999999999,198.1,159.79999999999998,12.0,15.0,14.0,3,1,470.5999999999999,156.86666666666665,11.478048780487804,41.0
00-0037257,David Bell,WR,2022,2022.0,45.4,48.7,5.7,14.0,9.0,1.0,3,1,99.8,33.266666666666666,4.158333333333333,24.0
00-0037805,Jeremy Ruckert,TE,2022,2022.0,1.8,31.1,28.5,2.0,10.0,13.0,3,1,61.4,20.466666666666665,2.456,25.0
00-0037828,Danny Gray,WR,2022,2022.0,2.9,,,5.0,,,1,0,,,,
00-0038129,Cade Otton,TE,2022,2022.0,93.10000000000001,116.5,140.6,14.0,16.0,14.0,3,1,350.20000000000005,116.73333333333335,7.95909090909091,44.0
00-0037258,Dameon Pierce,RB,2022,2022.0,166.4,82.7,43.5,13.0,13.0,9.0,3,1,292.6,97.53333333333335,8.360000000000001,35.0
00-0038115,Daniel Bellinger,TE,2022,2022.0,75.0,50.5,26.5,11.0,13.0,7.0,3,1,152.0,50.666666666666664,4.903225806451613,31.0
00-0038040,Zamir White,RB,2022,2022.0,7.0,73.9,29.3,11.0,13.0,8.0,3,1,110.2,36.733333333333334,3.44375,32.0
