gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,y1_rank_pct_pos,y2_rank_pct_pos,y3_rank_pct_pos,y3_vs_y1_delta,y3_vs_y2_delta,slow_start,strong_y3,late_bloomer_y3,slow_y1_y2_strong_y3,trajectory_archetype
00-0031939,Matt Jones,RB,2015,2015.0,116.4,75.3,1.4000000000000001,1,193.1,64.36666666666666,8.777272727272727,64.28571428571429,57.14285714285714,7.142857142857142,-115.0,-73.89999999999999,False,False,False,False,early_peak
00-0031941,Jamison Crowder,WR,2015,2015.0,135.6,197.5,166.29999999999998,1,499.4,166.46666666666667,10.625531914893617,81.25,93.75,81.25,30.69999999999999,-31.200000000000017,False,True,False,False,steady
00-0031569,Jeremy Langford,RB,2015,2015.0,147.6,73.2,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032130,Jalston Fowler,RB,2015,2015.0,22.7,2.6999999999999997,6.3999999999999995,1,31.799999999999997,10.6,2.446153846153846,35.714285714285715,21.428571428571427,21.428571428571427,-16.3,3.6999999999999997,False,False,False,False,steady
00-0032062,Blake Bell,TE,2015,2015.0,33.6,12.5,6.9,1,53.0,17.666666666666668,2.9444444444444446,88.88888888888889,33.33333333333333,22.22222222222222,-26.700000000000003,-5.6,False,False,False,False,early_peak
00-0031577,Javorius Allen,RB,2015,2015.0,145.7,7.8999999999999995,166.1,1,319.7,106.56666666666666,9.134285714285713,78.57142857142857,28.57142857142857,71.42857142857143,20.400000000000006,158.2,False,True,False,False,steady
00-0032063,Mike Davis,RB,2015,2015.0,16.6,14.5,52.1,1,83.2,27.733333333333334,4.894117647058824,28.57142857142857,35.714285714285715,42.857142857142854,35.5,37.6,True,False,False,False,steady
00-0032133,David Cobb,RB,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032170,Rashad Greene,WR,2015,2015.0,46.300000000000004,8.2,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031585,MyCole Pruitt,TE,2015,2015.0,18.9,3.3,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031588,Stefon Diggs,WR,2015,2015.0,149.29999999999998,193.3,198.2,1,540.8,180.26666666666665,13.52,87.5,87.5,100.0,48.900000000000006,4.899999999999977,False,True,False,False,steady
00-0031589,Brett Hundley,QB,2015,2016.0,-1.5199999999999998,124.44,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031590,Jay Ajayi,RB,2015,2015.0,42.699999999999996,215.3,135.10000000000002,1,393.1,131.03333333333333,10.344736842105263,50.0,92.85714285714286,64.28571428571429,92.40000000000003,-80.19999999999999,False,False,False,False,steady
00-0032152,Karlos Williams,RB,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031594,Tony Lippett,WR,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032134,C.J. Uzomah,TE,2015,2015.0,1.4,54.400000000000006,25.2,1,81.0,27.0,4.5,22.22222222222222,88.88888888888889,33.33333333333333,23.8,-29.200000000000006,True,False,False,False,steady
00-0032112,JJ Nelson,WR,2015,2015.0,52.9,139.1,95.5,1,287.5,95.83333333333333,7.371794871794871,50.0,68.75,56.25,42.6,-43.599999999999994,False,False,False,False,steady
00-0032135,Jesse James,TE,2015,2015.0,21.6,90.8,98.2,1,210.60000000000002,70.2,6.017142857142858,55.55555555555556,100.0,88.88888888888889,76.6,7.400000000000006,False,True,False,False,steady
00-0032113,Kenny Bell,WR,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031595,Michael Burton,RB,2015,2015.0,16.1,0.0,3.7,1,19.8,6.6000000000000005,1.2375,21.428571428571427,7.142857142857142,14.285714285714285,-12.400000000000002,3.7,True,False,False,False,steady
00-0031598,Nick Boyle,TE,2015,2015.0,35.3,10.4,50.3,1,96.0,32.0,3.6923076923076925,100.0,22.22222222222222,55.55555555555556,15.0,39.9,False,False,False,False,early_peak
00-0031951,James O'Shaughnessy,TE,2015,2015.0,14.7,1.9,34.9,1,51.5,17.166666666666668,2.340909090909091,44.44444444444444,11.11111111111111,44.44444444444444,20.2,33.0,False,False,False,False,steady
00-0031600,Keith Mumphery,WR,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032115,Kaelin Clay,WR,2015,2015.0,6.0,,23.2,0,,,,,,,17.2,,False,False,False,False,limited_sample
00-0031953,Geremy Davis,WR,2015,2015.0,4.1,0.0,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031954,Evan Spencer,WR,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032117,Nick O'Leary,TE,2015,2015.0,4.7,22.4,64.2,1,91.3,30.433333333333334,3.5115384615384615,33.33333333333333,66.66666666666666,66.66666666666666,59.5,41.800000000000004,False,False,False,False,steady
00-0032068,Malcolm Johnson,TE,2015,2015.0,5.5,7.6,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031533,Randall Telfer,TE,2015,2016.0,2.4,6.6,,0,,,,,,,,,False,False,False,False,limited_sample
,Bud Sasser,WR,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031610,Darren Waller,WR,2015,2015.0,3.8000000000000003,30.5,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031611,Josh Robinson,RB,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031612,Aaron Ripkowski,RB,2015,2015.0,2.8,46.6,12.2,1,61.599999999999994,20.53333333333333,2.8,7.142857142857142,50.0,35.714285714285715,9.399999999999999,-34.400000000000006,True,False,False,False,steady
