gsis_id,player_name,position,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td
00-0033840,Chad Hansen,WR,2016,,,,,92.0,1249.0,11.0
00-0033951,Marlon Mack,RB,2016,,,1187.0,15.0,28.0,227.0,0.0
00-0033564,Jake Butt,TE,2016,,,,,46.0,546.0,4.0
00-0033288,George Kittle,TE,2016,,,,,22.0,314.0,4.0
00-0033953,Jordan Leggett,TE,2016,,,,,46.0,736.0,7.0
00-0033528,Jeremy Sprinkle,TE,2016,,,,,33.0,380.0,4.0
00-0033567,Brian Hill,RB,2016,,,1860.0,22.0,8.0,67.0,0.0
00-0033955,Jeremy McNichols,RB,2016,,,1709.0,23.0,37.0,474.0,4.0
00-0033573,Shelton Gibson,WR,2016,,,29.0,0.0,43.0,951.0,8.0
00-0033957,Rodney Adams,WR,2016,,,231.0,5.0,67.0,822.0,5.0
00-0033958,Nathan Peterman,QB,2016,2855.0,27.0,286.0,3.0,1.0,11.0,0.0
00-0033466,Isaiah McKenzie,WR,2016,,,134.0,2.0,44.0,633.0,7.0
00-0033576,Eric Saubert,TE,,,,,,,,
00-0033291,DeAngelo Yancey,WR,2016,,,,,49.0,951.0,10.0
00-0033292,Trent Taylor,WR,2016,,,,,136.0,1803.0,12.0
00-0033789,T.J. Logan,RB,2016,,,650.0,7.0,29.0,244.0,3.0
00-0033293,Aaron Jones,RB,2016,3.0,1.0,1773.0,17.0,28.0,233.0,3.0
00-0033295,Elijah McGuire,RB,2016,,,1127.0,7.0,29.0,238.0,2.0
00-0033296,Alex Armah,RB,,,,,,,,
00-0033966,Bucky Hodges,TE,2016,,,42.0,0.0,48.0,691.0,7.0
00-0033581,De'Angelo Henderson,RB,,,,,,,,
00-0033967,Sam Rogers,RB,2016,13.0,1.0,283.0,2.0,24.0,301.0,4.0
00-0033791,Brandon Wilson,RB,2016,,,6.0,0.0,5.0,52.0,0.0
00-0033530,Robert Davis,WR,2016,,,,,67.0,968.0,5.0
00-0033585,Brad Kaaya,QB,2016,3532.0,27.0,-136.0,1.0,,,
00-0033968,Stacy Coley,WR,2016,,,,,63.0,754.0,9.0
00-0033589,David Moore,WR,2017,63.0,1.0,47.0,0.0,,,
00-0033471,Isaiah Ford,WR,2016,0.0,0.0,33.0,0.0,79.0,1094.0,7.0
00-0033304,Devante Mays,RB,2016,,,259.0,3.0,1.0,8.0,0.0
00-0033591,Noah Brown,WR,2016,,,,,32.0,402.0,7.0
00-0033796,Marquez Williams,RB,2016,,,1.0,0.0,2.0,19.0,1.0
00-0033797,Khalfani Muhammad,RB,2016,,,827.0,2.0,17.0,132.0,0.0
00-0033975,Elijah Hood,RB,2016,,,858.0,8.0,25.0,142.0,0.0
00-0033305,Malachi Dupre,WR,2016,0.0,0.0,,,41.0,593.0,3.0
00-0033594,Chris Carson,RB,2016,24.0,0.0,559.0,9.0,13.0,128.0,1.0
00-0033798,Mason Schreck,TE,2016,,,,,59.0,651.0,4.0
