season,team_id,as_of_week,end_week,n_weeks,player_name,overall_pick,pick_label,kind,label
2019,8,4,6,3,Saquon Barkley,1.0,1.01,out_3plus,Saquon Barkley out 3 weeks (W4-W6) (1.01)
2019,8,6,12,7,Sterling Shepard,77.0,8.07,out_3plus,Sterling Shepard out 7 weeks (W6-W12) (8.07)
2019,8,10,13,4,Matt Breida,85.0,9.05,out_3plus,Matt Breida out 4 weeks (W10-W13) (9.05)
2019,8,11,13,3,DeSean Jackson,160.0,16.10,out_3plus,DeSean Jackson out 3 weeks (W11-W13) (16.10)
2019,9,9,13,5,Philip Rivers,145.0,15.05,out_3plus,Philip Rivers out 5 weeks (W9-W13) (15.05)
2019,10,3,13,11,Ben Roethlisberger,105.0,11.05,out_3plus,Ben Roethlisberger out 11 weeks (W3-W13) (11.05)
2019,10,8,13,6,Delanie Walker,116.0,12.06,out_3plus,Delanie Walker out 6 weeks (W8-W13) (12.06)
2019,10,9,11,3,T.Y. Hilton,45.0,5.05,out_3plus,T.Y. Hilton out 3 weeks (W9-W11) (5.05)
2020,1,2,7,6,Carson Wentz,115.0,12.05,out_3plus,Carson Wentz out 6 weeks (W2-W7) (12.05)
2020,1,8,13,6,Odell Beckham Jr.,35.0,4.05,out_for_season,Odell Beckham Jr. out for season (4.05)
2020,1,8,13,6,Julian Edelman,75.0,8.05,out_for_season,Julian Edelman out for season (8.05)
2020,1,10,13,4,Alexander Mattison,142.0,15.02,out_3plus,Alexander Mattison out 4 weeks (W10-W13) (15.02)
2020,2,2,4,3,Le'Veon Bell,28.0,3.08,out_3plus,Le'Veon Bell out 3 weeks (W2-W4) (3.08)
2020,2,6,13,8,Dak Prescott,48.0,5.08,out_for_season,Dak Prescott out for season (5.08)
2020,2,7,13,7,Emmanuel Sanders,128.0,13.08,out_3plus,Emmanuel Sanders out 7 weeks (W7-W13) (13.08)
2020,2,8,10,3,Matthew Stafford,148.0,15.08,out_3plus,Matthew Stafford out 3 weeks (W8-W10) (15.08)
2020,2,12,13,2,Joe Burrow,,,out_for_season,Joe Burrow out for season
2020,3,7,13,7,Zach Ertz,45.0,5.05,out_for_season,Zach Ertz out for season (5.05)
2020,3,10,13,4,Tyler Higbee,76.0,8.06,out_3plus,Tyler Higbee out 4 weeks (W10-W13) (8.06)
2020,3,11,13,3,A.J. Green,65.0,7.05,out_for_season,A.J. Green out for season (7.05)
2020,4,4,13,10,Tarik Cohen,84.0,9.04,out_3plus,Tarik Cohen out 10 weeks (W4-W13) (9.04)
2020,5,2,5,4,Michael Thomas,7.0,1.07,out_3plus,Michael Thomas out 4 weeks (W2-W5) (1.07)
2020,5,5,8,4,Nick Chubb,14.0,2.04,out_3plus,Nick Chubb out 4 weeks (W5-W8) (2.04)
2020,5,7,13,7,Eric Ebron,140.0,14.10,out_3plus,Eric Ebron out 7 weeks (W7-W13) (14.10)
2020,5,8,13,6,Darius Slayton,127.0,13.07,out_for_season,Darius Slayton out for season (13.07)
2020,5,8,11,4,Mike Williams,147.0,15.07,out_3plus,Mike Williams out 4 weeks (W8-W11) (15.07)
2020,5,9,11,3,Carson Wentz,115.0,12.05,out_3plus,Carson Wentz out 3 weeks (W9-W11) (12.05)
2020,5,10,12,3,David Johnson,34.0,4.04,out_3plus,David Johnson out 3 weeks (W10-W12) (4.04)
2020,5,11,13,3,Austin Hooper,100.0,10.10,out_3plus,Austin Hooper out 3 weeks (W11-W13) (10.10)
2020,7,3,8,6,Christian McCaffrey,1.0,1.01,out_3plus,Christian McCaffrey out 6 weeks (W3-W8) (1.01)
2020,7,3,9,7,Austin Hooper,100.0,10.10,out_3plus,Austin Hooper out 7 weeks (W3-W9) (10.10)
2020,7,4,11,8,Dallas Goedert,,,out_3plus,Dallas Goedert out 8 weeks (W4-W11)
2020,7,7,10,4,Raheem Mostert,60.0,6.10,out_3plus,Raheem Mostert out 4 weeks (W7-W10) (6.10)
2020,7,10,12,3,Christian McCaffrey,1.0,1.01,out_3plus,Christian McCaffrey out 3 weeks (W10-W12) (1.01)
2020,7,10,13,4,Joe Mixon,20.0,2.10,out_3plus,Joe Mixon out 4 weeks (W10-W13) (2.10)
2020,7,10,13,4,Darrell Henderson Jr.,112.0,12.02,out_3plus,Darrell Henderson Jr. out 4 weeks (W10-W13) (12.02)
2020,7,11,13,3,Leonard Fournette,78.0,8.08,out_3plus,Leonard Fournette out 3 weeks (W11-W13) (8.08)
2020,7,13,13,1,Jerick McKinnon,,,out_for_season,Jerick McKinnon out for season
2020,8,3,13,11,Saquon Barkley,2.0,1.02,out_3plus,Saquon Barkley out 11 weeks (W3-W13) (1.02)
2020,9,7,11,5,Austin Ekeler,18.0,2.08,out_3plus,Austin Ekeler out 5 weeks (W7-W11) (2.08)
2020,9,7,9,3,Jerry Jeudy,123.0,13.03,out_3plus,Jerry Jeudy out 3 weeks (W7-W9) (13.03)
2020,9,9,13,5,George Kittle,23.0,3.03,out_3plus,George Kittle out 5 weeks (W9-W13) (3.03)
2020,10,11,13,3,Drew Brees,91.0,10.01,out_3plus,Drew Brees out 3 weeks (W11-W13) (10.01)
2021,1,9,11,3,DeAndre Hopkins,18.0,2.08,out_3plus,DeAndre Hopkins out 3 weeks (W9-W11) (2.08)
2021,1,9,14,6,Robert Tonyan,83.0,9.03,out_3plus,Robert Tonyan out 6 weeks (W9-W14) (9.03)
2021,1,13,14,2,Chris Carson,23.0,3.03,out_for_season,Chris Carson out for season (3.03)
2021,2,3,6,4,Jarvis Landry,84.0,9.04,out_3plus,Jarvis Landry out 4 weeks (W3-W6) (9.04)
2021,2,5,8,4,Logan Thomas,64.0,7.04,out_3plus,Logan Thomas out 4 weeks (W5-W8) (7.04)
2021,2,8,14,7,Nyheim Hines,144.0,15.04,out_3plus,Nyheim Hines out 7 weeks (W8-W14) (15.04)
2021,2,10,12,3,Julio Jones,44.0,5.04,out_3plus,Julio Jones out 3 weeks (W10-W12) (5.04)
2021,3,2,6,5,Michael Gallup,87.0,9.07,out_3plus,Michael Gallup out 5 weeks (W2-W6) (9.07)
2021,3,6,8,3,Saquon Barkley,7.0,1.07,out_3plus,Saquon Barkley out 3 weeks (W6-W8) (1.07)
2021,3,6,8,3,Kenny Golladay,54.0,6.04,out_3plus,Kenny Golladay out 3 weeks (W6-W8) (6.04)
2021,3,11,14,4,Robert Woods,34.0,4.04,out_for_season,Robert Woods out for season (4.04)
2021,4,9,14,6,Zach Ertz,,,out_3plus,Zach Ertz out 6 weeks (W9-W14)
2021,5,5,14,10,Kenyan Drake,90.0,9.10,out_3plus,Kenyan Drake out 10 weeks (W5-W14) (9.10)
2021,5,6,14,9,JuJu Smith-Schuster,51.0,6.01,out_3plus,JuJu Smith-Schuster out 9 weeks (W6-W14) (6.01)
2021,5,7,14,8,Antonio Brown,130.0,13.10,out_3plus,Antonio Brown out 8 weeks (W7-W14) (13.10)
2021,5,9,12,4,Derrick Henry,2.0,1.02,out_3plus,Derrick Henry out 4 weeks (W9-W12) (1.02)
2021,5,9,11,3,Kyler Murray,50.0,5.10,out_3plus,Kyler Murray out 3 weeks (W9-W11) (5.10)
2021,5,12,14,3,Michael Carter,131.0,14.01,out_3plus,Michael Carter out 3 weeks (W12-W14) (14.01)
2021,5,14,14,1,Jerry Jeudy,62.0,7.02,out_for_season,Jerry Jeudy out for season (7.02)
2021,6,4,7,4,Rob Gronkowski,,,out_3plus,Rob Gronkowski out 4 weeks (W4-W7)
2021,6,5,8,4,David Montgomery,28.0,3.08,out_3plus,David Montgomery out 4 weeks (W5-W8) (3.08)
2021,6,7,11,5,Kareem Hunt,65.0,7.05,out_3plus,Kareem Hunt out 5 weeks (W7-W11) (7.05)
2021,6,10,14,5,Khalil Herbert,,,out_for_season,Khalil Herbert out for season
2021,7,4,14,11,Jonnu Smith,106.0,11.06,out_3plus,Jonnu Smith out 11 weeks (W4-W14) (11.06)
2021,7,6,8,3,Russell Wilson,75.0,8.05,out_3plus,Russell Wilson out 3 weeks (W6-W8) (8.05)
2021,7,7,9,3,Brandon Aiyuk,46.0,5.06,out_3plus,Brandon Aiyuk out 3 weeks (W7-W9) (5.06)
2021,7,8,10,3,Miles Sanders,26.0,3.06,out_3plus,Miles Sanders out 3 weeks (W8-W10) (3.06)
2021,7,10,13,4,Alvin Kamara,6.0,1.06,out_3plus,Alvin Kamara out 4 weeks (W10-W13) (1.06)
