gsis_id,player_name,position,draft_year,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos
00-0033911,Taywan Taylor,WR,2017,2017.0,49.4,16.0,3.0875,10.0
00-0033916,ArDarius Stewart,WR,2017,2017.0,16.9,9.0,1.8777777777777775,17.0
00-0033919,Carlos Henderson,WR,2017,,,,,
00-0033921,Chris Godwin,WR,2017,2017.0,92.5,15.0,6.166666666666667,6.0
00-0033923,Kareem Hunt,RB,2017,2017.0,295.2,16.0,18.45,2.0
00-0033550,Davis Webb,QB,2017,2021.0,,,,
00-0033925,D'Onta Foreman,RB,2017,2017.0,57.0,9.0,6.333333333333333,14.0
00-0033932,Kenny Golladay,WR,2017,2017.0,94.6,11.0,8.6,5.0
00-0033933,Chad Williams,WR,2017,2017.0,9.4,5.0,1.8800000000000001,20.0
00-0033858,Jonnu Smith,TE,2017,2017.0,45.7,13.0,3.5153846153846158,6.0
00-0033936,C.J. Beathard,QB,2017,2017.0,88.8,6.0,14.799999999999999,4.0
00-0033553,James Conner,RB,2017,2017.0,14.4,12.0,1.2,17.0
00-0033937,Amara Darboh,WR,2017,2017.0,15.1,8.0,1.8875,19.0
00-0033839,Dede Westbrook,WR,2017,2017.0,66.9,7.0,9.557142857142859,9.0
00-0033526,Samaje Perine,RB,2017,2017.0,108.5,13.0,8.346153846153847,8.0
00-0033943,Josh Reynolds,WR,2017,2017.0,27.4,8.0,3.425,13.0
00-0033555,Mack Hollins,WR,2017,2017.0,44.6,11.0,4.054545454545455,11.0
00-0033556,Tarik Cohen,RB,2017,2017.0,152.14,16.0,9.50875,5.0
00-0033286,Joe Williams,RB,2017,,,,,
00-0033559,Michael Roberts,TE,2017,2017.0,8.6,5.0,1.72,12.0
00-0033859,Josh Malone,WR,2017,2017.0,18.5,9.0,2.0555555555555554,15.0
00-0033561,Donnel Pumphrey,RB,2017,,,,,
00-0033562,Ryan Switzer,WR,2017,2017.0,16.6,7.0,2.3714285714285714,18.0
00-0033948,Jamaal Williams,RB,2017,2017.0,142.8,14.0,10.200000000000001,6.0
00-0033949,Joshua Dobbs,QB,2017,2018.0,0.8200000000000001,5.0,0.164,7.0
00-0033464,Jehu Chesson,WR,2017,2017.0,3.8,2.0,1.9,23.0
00-0033950,Wayne Gallman,RB,2017,2017.0,104.9,13.0,8.069230769230769,9.0
00-0033840,Chad Hansen,WR,2017,2017.0,18.4,6.0,3.0666666666666664,16.0
00-0033951,Marlon Mack,RB,2017,2017.0,103.30000000000001,14.0,7.378571428571429,10.0
00-0033564,Jake Butt,TE,2017,2018.0,16.5,3.0,5.5,9.0
00-0033288,George Kittle,TE,2017,2017.0,106.5,15.0,7.1,2.0
00-0033953,Jordan Leggett,TE,2017,2018.0,31.400000000000002,13.0,2.4153846153846157,8.0
00-0033528,Jeremy Sprinkle,TE,2017,2017.0,9.3,3.0,3.1,11.0
00-0033567,Brian Hill,RB,2017,2017.0,9.3,3.0,3.1,20.0
00-0033955,Jeremy McNichols,RB,2017,2018.0,0.4,1.0,0.4,23.0
00-0033573,Shelton Gibson,WR,2017,2017.0,3.1,1.0,3.1,24.0
00-0033957,Rodney Adams,WR,2017,2021.0,,,,
00-0033958,Nathan Peterman,QB,2017,2017.0,9.540000000000001,4.0,2.3850000000000002,6.0
00-0033466,Isaiah McKenzie,WR,2017,2017.0,7.3,7.0,1.042857142857143,21.0
00-0033576,Eric Saubert,TE,2017,2018.0,9.8,5.0,1.9600000000000002,10.0
00-0033291,DeAngelo Yancey,WR,2017,,,,,
00-0033292,Trent Taylor,WR,2017,2017.0,98.0,15.0,6.533333333333333,4.0
00-0033789,T.J. Logan,RB,2017,2018.0,10.9,4.0,2.725,19.0
00-0033293,Aaron Jones,RB,2017,2017.0,80.0,10.0,8.0,11.0
00-0033295,Elijah McGuire,RB,2017,2017.0,76.2,15.0,5.08,12.0
00-0033296,Alex Armah,RB,2017,2018.0,15.0,8.0,1.875,16.0
00-0033966,Bucky Hodges,TE,2017,,,,,
00-0033581,De'Angelo Henderson,RB,2017,2017.0,12.9,3.0,4.3,18.0
00-0033967,Sam Rogers,RB,2017,,,,,
00-0033791,Brandon Wilson,RB,2017,2019.0,,,,
00-0033530,Robert Davis,WR,2017,2019.0,,,,
00-0033585,Brad Kaaya,QB,2017,,,,,
00-0033968,Stacy Coley,WR,2017,2017.0,0.0,1.0,0.0,25.0
00-0033589,David Moore,WR,2017,2018.0,101.0,14.0,7.214285714285714,3.0
00-0033471,Isaiah Ford,WR,2017,2018.0,0.0,1.0,0.0,25.0
00-0033304,Devante Mays,RB,2017,2017.0,1.1,2.0,0.55,22.0
00-0033591,Noah Brown,WR,2017,2017.0,7.3,7.0,1.042857142857143,21.0
00-0033796,Marquez Williams,RB,2017,2017.0,0.0,1.0,0.0,24.0
00-0033797,Khalfani Muhammad,RB,2017,,,,,
00-0033975,Elijah Hood,RB,2017,,,,,
00-0033305,Malachi Dupre,WR,2017,,,,,
00-0033594,Chris Carson,RB,2017,2017.0,39.7,4.0,9.925,15.0
00-0033798,Mason Schreck,TE,2017,2020.0,,,,
00-0033596,Matthew Dayes,RB,2017,2017.0,8.200000000000001,5.0,1.6400000000000001,21.0
00-0033597,Chad Kelly,QB,2017,2018.0,-0.1,1.0,-0.1,8.0
00-0034855,Baker Mayfield,QB,2018,2018.0,240.1,14.0,17.15,1.0
00-0034844,Saquon Barkley,RB,2018,2018.0,385.8,16.0,24.1125,1.0
00-0034869,Sam Darnold,QB,2018,2018.0,168.1,13.0,12.930769230769231,3.0
00-0034857,Josh Allen,QB,2018,2018.0,206.86,12.0,17.238333333333333,2.0
00-0034343,Josh Rosen,QB,2018,2018.0,112.92,14.0,8.065714285714286,5.0
00-0034827,D.J. Moore,WR,2018,2018.0,159.0,16.0,9.9375,2.0
00-0034830,Hayden Hurst,TE,2018,2018.0,35.3,9.0,3.922222222222222,10.0
00-0034837,Calvin Ridley,WR,2018,2018.0,206.8,16.0,12.925,1.0
00-0034750,Rashaad Penny,RB,2018,2018.0,70.4,12.0,5.866666666666667,9.0
00-0034845,Sony Michel,RB,2018,2018.0,139.1,13.0,10.7,5.0
00-0034796,Lamar Jackson,QB,2018,2018.0,157.54,16.0,9.84625,4.0
00-0034791,Nick Chubb,RB,2018,2018.0,194.5,16.0,12.15625,2.0
00-0034816,Ronald Jones II,RB,2018,2018.0,20.7,6.0,3.4499999999999997,17.0
00-0034348,Courtland Sutton,WR,2018,2018.0,136.3,16.0,8.51875,3.0
00-0034829,Mike Gesicki,TE,2018,2018.0,40.2,14.0,2.8714285714285714,7.0
00-0034349,Kerryon Johnson,RB,2018,2018.0,139.4,10.0,13.940000000000001,4.0
00-0034860,Dante Pettis,WR,2018,2018.0,103.5,9.0,11.5,8.0
00-0034775,Christian Kirk,WR,2018,2018.0,123.5,12.0,10.291666666666666,5.0
00-0034351,Dallas Goedert,TE,2018,2018.0,90.4,14.0,6.457142857142857,3.0
00-0034353,Anthony Miller,WR,2018,2018.0,120.22,14.0,8.587142857142856,6.0
00-0034358,Derrius Guice,RB,2018,2019.0,57.4,5.0,11.48,13.0
00-0034676,James Washington,WR,2018,2018.0,43.7,12.0,3.641666666666667,14.0
00-0034777,DJ Chark,WR,2018,2018.0,29.4,10.0,2.94,17.0
00-0034838,Royce Freeman,RB,2018,2018.0,101.3,14.0,7.235714285714286,6.0
00-0034771,Mason Rudolph,QB,2018,2019.0,108.8,10.0,10.879999999999999,6.0
00-0034764,Michael Gallup,WR,2018,2018.0,97.7,15.0,6.513333333333334,10.0
00-0034753,Mark Andrews,TE,2018,2018.0,107.2,16.0,6.7,2.0
00-0034765,Tre'Quan Smith,WR,2018,2018.0,100.7,13.0,7.746153846153846,9.0
00-0034364,Jordan Akins,TE,2018,2018.0,39.5,13.0,3.0384615384615383,8.0
00-0034365,Ian Thomas,TE,2018,2018.0,81.30000000000001,10.0,8.13,5.0
00-0034366,Keke Coutee,WR,2018,2018.0,62.699999999999996,6.0,10.45,12.0
00-0034367,Nyheim Hines,RB,2018,2018.0,160.9,16.0,10.05625,3.0
00-0034772,Antonio Callaway,WR,2018,2018.0,132.3,16.0,8.26875,4.0
00-0034766,Chris Herndon,TE,2018,2018.0,113.2,14.0,8.085714285714285,1.0
00-0034369,Kyle Lauletta,QB,2018,2018.0,-2.2,1.0,-2.2,8.0
00-0034679,Mark Walton,RB,2018,2018.0,12.5,6.0,2.0833333333333335,18.0
00-0034370,DaeSean Hamilton,WR,2018,2018.0,66.3,8.0,8.2875,11.0
